t;p.can_tdist;p.can_tfuel
1530435216;3930700;18306
1530435216;3930700;18306
1530435240;3930700;18317
1530435262;3930700;18323
1530435266;3930700;18323
1530435281;3930700;18328
1530435284;3930800;18334
1530435344;3931300;18368
1530435400;3932000;18390
1530435460;3932800;18412
1530435520;3933200;18435
1530435580;3933400;18480
1530435624;3933900;18508
1530435627;3933900;18508
1530435633;3933900;18508
1530439703;3933900;18508
1530439703;3933900;18508
1530439714;3934000;18524
1530439734;3934000;18524
1530439736;3934000;18524
1530439741;3934000;18530
1530439763;3934100;18536
1530439766;3934100;18541
1530439768;3934100;18541
1530439782;3934200;18552
1530439842;3934900;18575
1530439902;3935800;18614
1530439946;3936500;18642
1530440006;3937300;18670
1530440066;3938200;18720
1530440103;3938900;18737
1530440163;3939500;18754
1530440179;3939500;18760
1530440183;3939500;18765
1530440203;3939700;18782
1530440216;3939800;18788
1530440225;3939900;18799
1530440274;3940600;18827
1530440297;3940900;18838
1530440357;3941800;18872
1530440417;3942700;18911
1530440477;3943500;18961
1530440487;3943600;18967
1530440537;3943600;18967
1530440539;3943600;18967
1530440550;3943700;18995
1530440568;3943900;19000
1530440574;3943900;19000
1530440578;3944000;19000
1530440578;3944000;19000
1530440776;3944000;19000
1530440776;3944000;19000
1530440781;3944000;19006
1530440787;3944000;19006
1530440790;3944000;19012
1530440850;3944700;19040
1530440864;3944800;19045
1530440905;3945300;19068
1530440908;3945300;19068
1530440911;3945300;19073
1530440923;3945500;19084
1530440948;3945800;19090
1530440950;3945800;19090
1530440964;3946000;19101
1530440979;3946100;19107
1530441030;3946500;19124
1530441056;3946500;19129
1530462676;3946500;19129
1530484296;3946500;19129
1530505916;3946500;19129
1530517084;3946500;19129
1530517084;3946500;19129
1530517089;3946500;19140
1530517095;3946500;19140
1530517098;3946500;19146
1530517102;3946500;19146
1530517104;3946500;19146
1530517116;3946600;19157
1530517158;3947000;19174
1530517162;3947100;19180
1530517171;3947100;19185
1530517174;3947200;19191
1530517203;3947700;19213
1530517208;3947700;19213
1530517211;3947700;19213
1530517271;3947700;19230
1530517331;3948100;19252
1530517342;3948200;19258
1530517344;3948200;19258
1530517404;3948900;19303
1530517406;3948900;19303
1530517409;3948900;19303
